"File.Name","Sample"
"20250311_UWPRLumos_Richmond_Acerv1","Acerv20"
"20250311_UWPRLumos_Richmond_Acerv10","Acerv52"
"20250311_UWPRLumos_Richmond_Acerv11","Acerv34"
"20250311_UWPRLumos_Richmond_Acerv12","Acerv34"
"20250311_UWPRLumos_Richmond_Acerv13","Acerv50"
"20250311_UWPRLumos_Richmond_Acerv14","Acerv51"
"20250311_UWPRLumos_Richmond_Acerv15","Acerv31"
"20250311_UWPRLumos_Richmond_Acerv16","Acerv49"
"20250311_UWPRLumos_Richmond_Acerv17","Acerv53"
"20250311_UWPRLumos_Richmond_Acerv18","Acerv56"
"20250311_UWPRLumos_Richmond_Acerv2","Acerv50"
"20250311_UWPRLumos_Richmond_Acerv3","Acerv53"
"20250311_UWPRLumos_Richmond_Acerv4","Acerv51"
"20250311_UWPRLumos_Richmond_Acerv5","Acerv34"
"20250311_UWPRLumos_Richmond_Acerv6","Acerv31"
"20250311_UWPRLumos_Richmond_Acerv7","Acerv56"
"20250311_UWPRLumos_Richmond_Acerv8","Acerv20"
"20250311_UWPRLumos_Richmond_Acerv9","Acerv49"
