Number,ID,Coral Species,Collection Location,Date Collected,Date extracted,Date digested,Extracted concentration µg/mL,Amount of protein for 100 µg,Buffer to add for 100 µL
1,1,OFAV,CFR,7/30/2022,4/9/24,4/11/24,16260,6.15,93.85
2,2,OFAV,MK,8/2/2022,4/9/24,4/11/24,13840,7.23,92.77
3,4,OFAV,MK,8/2/2022,4/9/24,4/11/24,16860,5.93,94.07
4,5,OFAV,CFR,7/30/2022,4/9/24,8/29/24,12700,7.87,92.13
5,7,OFAV,TR,8/1/2022,4/9/24,8/29/24,15780,6.34,93.66
6,8,OFAV,TR,8/1/2022,4/9/24,8/29/24,11700,8.55,91.45
7,10,OFAV,CFR,7/30/2022,4/9/24,8/29/24,9140,10.94,89.06
8,20,ACERV,CFR,7/30/2022,4/9/24,8/29/24,12920,7.74,92.26
9,21,OFAV,TR,8/1/2022,4/9/24,8/29/24,14920,6.70,93.30
10,23,OFAV,TR,8/1/2022,4/9/24,8/29/24,11040,9.06,90.94
11,24,OFAV,TR,8/1/2022,4/9/24,8/29/24,13360,7.49,92.51
12,26,OFAV,CFR,7/30/2022,4/9/24,8/29/24,11020,9.07,90.93
13,31,ACERV,MK,8/2/2022,4/9/24,8/29/24,9100,10.99,89.01
14,34,ACERV,MK,8/2/2022,4/9/24,8/29/24,6460,15.48,84.52
15,43,OFAV,MK,8/2/22,4/9/24,8/29/24,11020,9.07,90.93
16,49,ACERV,MK,8/2/2022,4/9/24,9/18/24,8080,12.38,87.62
17,50,ACERV,CFR,7/30/2022,4/9/24,8/29/24,9440,10.59,89.41
18,51,ACERV,MK,8/2/2022,4/9/24,8/29/24,8480,11.79,88.21
19,52,ACERV,MK,8/2/2022,4/9/24,8/29/24,10100,9.90,90.10
20,53,ACERV,CFR,7/30/2022,4/9/24,8/29/24,7980,12.53,87.47
21,55,OFAV,CFR,7/30/2022,4/9/24,8/29/24,18480,5.41,94.59
22,56,ACERV,CFR,7/30/2022,4/9/24,8/29/24,8080,12.38,87.62
23,59,OFAV,MK,8/2/2022,4/9/24,9/18/24,10940,9.14,90.86
24,60,OFAV,MK,8/2/2022,4/9/24,8/29/24,11960,8.36,91.64
