"ProteinID","contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Protein.Description"
"tr|A0A060BFZ1|A0A060BFZ1_9DINO","CFR - TR",-4.20259541144612,2.94846734923519,-0.855323866617498,0.402381760417132,0.872578520656753,-4.87175580555267,"Superoxide dismutase [Fe] OS=Cladocopium sp. C3 OX=2558455 GN=MnSOD PE=2 SV=1"
"tr|A0A060BJB1|A0A060BJB1_9DINO","CFR - TR",-1.17535404803909,18.851148848782,-0.228565358245693,0.8226958012743,0.982516827608286,-5.09553688696525,"Ascorbate peroxidase (Fragment) OS=Symbiodinium sp. A1 OX=503409 GN=APX PE=2 SV=1"
"tr|A0A060BJC5|A0A060BJC5_9DINO","CFR - TR",2.41560202376753,20.1060794264782,0.579441435892855,0.573047912197902,0.932974504295148,-4.99838520052345,"Superoxide dismutase [Fe] (Fragment) OS=Symbiodinium sp. B1 OX=503418 GN=MnSOD PE=2 SV=1"
"tr|A0A060BJD1|A0A060BJD1_9DINO","CFR - TR",-0.546796478559596,24.4697446754975,-1.2055416132732,0.241896755843256,0.855869820316528,-4.64414657039501,"Tubulin beta chain OS=Symbiodinium sp. B1 OX=503418 GN=Tub PE=2 SV=1"
"tr|A0A060BJY5|A0A060BJY5_9DINO","CFR - TR",-4.24927865288084,2.75104265279436,-0.903965761554514,0.376645431647348,0.862129329663965,-4.84421401658199,"Catalase peroxidase (Fragment) OS=Symbiodinium sp. clade F1 OX=1075212 GN=KatG PE=2 SV=1"
"tr|A0A060BQ26|A0A060BQ26_9DINO","CFR - TR",0.163008593262106,24.8382077272601,0.358648594443116,0.723571103490793,0.975138148691042,-5.0702435668607,"Superoxide dismutase [Fe] OS=Cladocopium sp. C15 OX=377605 GN=MnSOD PE=2 SV=1"
"tr|A0A060BQU0|A0A060BQU0_9DINO","CFR - TR",-4.56246847826054,7.08224637362336,-0.7825089292509,0.442973136512763,0.884001127291911,-4.91039479429307,"S-adenosylmethionine synthetase (Fragment) OS=Symbiodinium sp. B1 OX=503418 GN=SAM PE=2 SV=1"
"tr|A0A0A0N1X1|A0A0A0N1X1_9DINO","CFR - TR",-0.952861514806262,21.1183348046929,-0.233607533871171,0.819472507026861,0.982516827608286,-5.09451087756014,"PSII CP47 apoprotein OS=Symbiodinium sp. Mf1.05b OX=1240977 GN=psbB PE=4 SV=1"
"tr|A0A0A0N1X2|A0A0A0N1X2_9DINO","CFR - TR",-0.388970921077604,24.4584921513663,-0.434754534787691,0.669620609389431,0.965695013361619,-5.04927937522117,"Photosystem II CP43 reaction center protein OS=Symbiodinium sp. Mf1.05b OX=1240977 GN=psbC PE=3 SV=1"
"tr|A0A0A0N2N8|A0A0A0N2N8_9DINO","CFR - TR",-0.613584825068695,24.4878006799894,-1.32053313144365,0.201392484905063,0.855869820316528,-4.55544738403453,"ATP synthase subunit beta OS=Symbiodinium sp. Mf1.05b OX=1240977 GN=atpB PE=3 SV=1"
"tr|A0A0A0N2P0|A0A0A0N2P0_9DINO","CFR - TR",-7.85080280666896,6.27766452682317,-1.34242376957845,0.194319837737675,0.855869820316528,-4.53784063486071,"Photosystem I OS=Symbiodinium sp. Mf1.05b OX=1240977 GN=psaB PE=3 SV=1"
"tr|A0A0A0N2S8|A0A0A0N2S8_9DINO","CFR - TR",-10.9859387174075,12.088267324752,-1.79031890253578,0.0883711199789326,0.855869820316528,-4.13248961713222,"Cytochrome b6 OS=Symbiodinium sp. Mf1.05b OX=1240977 GN=petB PE=3 SV=1"
"tr|A0A0A0N2S9|A0A0A0N2S9_9DINO","CFR - TR",-3.02327658105518,12.5582739457728,-0.451805814349832,0.656212247459269,0.962192319139417,-5.04495505571683,"Photosystem I P700 chlorophyll a apoprotein A1 OS=Symbiodinium sp. Mf1.05b OX=1240977 GN=psaA PE=3 SV=1"
"tr|A0A0K0VKB7|A0A0K0VKB7_SYMMI","CFR - TR",-0.141563623774925,26.0826826361153,-0.350182378377819,0.729818979181531,0.977813306199124,-5.07225908419187,"Translation elongation factor 1 alpha-like protein OS=Symbiodinium microadriaticum subsp. microadriaticum OX=154572 GN=EF-1alpha PE=2 SV=1"
"tr|A0A1Q8ZXV8|A0A1Q8ZXV8_SYMMI","CFR - TR",4.42923332646963,1.26549523613418,1.25483877690537,0.223831156215293,0.855869820316528,-4.60691294147517,"Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene48732 PE=4 SV=1"
"tr|A0A1Q9BPX8|A0A1Q9BPX8_SYMMI","CFR - TR",2.3153910354157,15.3468890694814,0.409368684326573,0.686568041947573,0.968280729236981,-5.05718016785256,"Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene48312 PE=4 SV=1"
"tr|A0A1Q9BQL8|A0A1Q9BQL8_SYMMI","CFR - TR",-0.722393695408362,10.7093277923149,-0.11446855185521,0.909994084503956,0.987355041283093,-5.10918572241111,"Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene48082 PE=4 SV=1"
"tr|A0A1Q9BQT6|A0A1Q9BQT6_SYMMI","CFR - TR",6.38914522303877,6.27073278593238,0.99566952854218,0.331163718025311,0.855869820316528,-4.78861650072961,"Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene47873 PE=4 SV=1"
"tr|A0A1Q9BQW4|A0A1Q9BQW4_SYMMI","CFR - TR",-0.0541047305626776,21.0708929847961,-0.0287338552342977,0.977468048545509,1,-5.11333677397487,"ATP-dependent zinc metalloprotease FtsH (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=ftsH PE=3 SV=1"
"tr|A0A1Q9BRM0|A0A1Q9BRM0_SYMMI","CFR - TR",-2.55372275497967,21.4461141215567,-1.35712871483386,0.197540713595347,0.855869820316528,-4.52906169066834,"Pyruvate, water dikinase (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=ppsA PE=3 SV=1"
"tr|A0A1Q9BRW9|A0A1Q9BRW9_SYMMI","CFR - TR",7.1586148263934,13.2639929593333,1.19059999443665,0.247584893522967,0.855869820316528,-4.65519174822652,"Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene47331 PE=4 SV=1"
"tr|A0A1Q9BRZ0|A0A1Q9BRZ0_SYMMI","CFR - TR",-7.53209820911643,3.29891302678499,-1.67751523046215,0.108815114832979,0.855869820316528,-4.24205972387981,"Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene47439 PE=4 SV=1"
"tr|A0A1Q9BRZ1|A0A1Q9BRZ1_SYMMI","CFR - TR",-5.83594161852191,19.1322831516046,-1.83736097992787,0.0826235451057718,0.855869820316528,-4.09182374973823,"Pyruvate, water dikinase (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=ppsA PE=3 SV=1"
"tr|A0A1Q9BS93|A0A1Q9BS93_SYMMI","CFR - TR",4.43077023626394,1.93413719467243,1.15611175583581,0.261097517933014,0.855869820316528,-4.68025272678611,"Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene47192 PE=4 SV=1"
"tr|A0A1Q9BSM7|A0A1Q9BSM7_SYMMI","CFR - TR",-2.03650622797515,20.1658671218695,-0.546079147734976,0.594791948072593,0.93760896377933,-5.0112247737678,"Elongation factor 1-alpha 2 (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=EFA2 PE=4 SV=1"
"tr|A0A1Q9BSN2|A0A1Q9BSN2_SYMMI","CFR - TR",-4.47892315378734,1.59961541206691,-1.10351053565934,0.282750674673021,0.855869820316528,-4.71729123905348,"Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46996 PE=4 SV=1"
"tr|A0A1Q9BSP5|A0A1Q9BSP5_SYMMI","CFR - TR",-1.07145220026167,23.1372362370575,-1.73860412914666,0.0972913360120841,0.855869820316528,-4.18328888301754,"Fucoxanthin-chlorophyll a-c binding protein B, chloroplastic (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=FCPB PE=4 SV=1"
"tr|A0A1Q9BSU3|A0A1Q9BSU3_SYMMI","CFR - TR",-2.62835179322557,20.5291237109632,-1.61763193272107,0.121218136992545,0.855869820316528,-4.29831213264197,"Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46902 PE=4 SV=1"
"tr|A0A1Q9BT50|A0A1Q9BT50_SYMMI","CFR - TR",-0.877084952127138,21.7492262000803,-1.10797983767074,0.280861406711258,0.855869820316528,-4.71420057765618,"Type-3 glutamine synthetase OS=Symbiodinium microadriaticum OX=2951 GN=glnA3 PE=3 SV=1"
"tr|A0A1Q9BT89|A0A1Q9BT89_SYMMI","CFR - TR",-3.7471316968819,1.33826132031496,-1.01837908650316,0.320514832168634,0.855869820316528,-4.77412216960938,"Pentatricopeptide repeat-containing protein, mitochondrial (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46729 PE=4 SV=1"
"tr|A0A1Q9BTJ1|A0A1Q9BTJ1_SYMMI","CFR - TR",-17.7084408449769,9.22246842885901,-3.53478724126454,0.00205070526257325,0.745277940952997,-2.10943852104167,"Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46680 PE=4 SV=1"
"tr|A0A1Q9BU41|A0A1Q9BU41_SYMMI","CFR - TR",1.8220003232062,7.69616153509401,0.288635432119949,0.775795126257633,0.981078836599005,-5.08548402036922,"Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46333 PE=4 SV=1"
"tr|A0A1Q9BU68|A0A1Q9BU68_SYMMI","CFR - TR",-0.72352798080655,14.8453965027137,-0.126558058219455,0.900538757458755,0.987355041283093,-5.1081997920403,"Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46313 PE=4 SV=1"
"tr|A0A1Q9BUE8|A0A1Q9BUE8_SYMMI","CFR - TR",1.3294407046337,17.1661805048385,0.318644921782336,0.753259959809771,0.980316187643036,-5.07934974902073,"Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46236 PE=4 SV=1"
"tr|A0A1Q9BUI4|A0A1Q9BUI4_SYMMI","CFR - TR",6.26145403458479,6.75100281884127,1.02075378493931,0.319415344115198,0.855869820316528,-4.77259013705374,"Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46126 PE=4 SV=1"
"tr|A0A1Q9BUJ8|A0A1Q9BUJ8_SYMMI","CFR - TR",-1.60303559489613,5.70844765198014,-0.289825738464654,0.774897254262833,0.981078836599005,-5.08525211974464,"Urease subunit alpha (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=ureC PE=4 SV=1"
"tr|A0A1Q9BUT2|A0A1Q9BUT2_SYMMI","CFR - TR",0,5.02777266231702,0,1,1,-5.11362158100116,"Caltractin OS=Symbiodinium microadriaticum OX=2951 GN=Caltractin PE=3 SV=1"
"tr|A0A1Q9BUT7|A0A1Q9BUT7_SYMMI","CFR - TR",-1.12540828085383,4.91854643915741,-0.212977708337102,0.833474407417154,0.982516827608286,-5.0982822829547,"Fructose-bisphosphate aldolase (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=fbaA PE=3 SV=1"
"tr|A0A1Q9BV61|A0A1Q9BV61_SYMMI","CFR - TR",-6.56149138327661,5.88540741513008,-1.04696626621408,0.30745523934848,0.855869820316528,-4.75547454954451,"Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45862 PE=4 SV=1"
"tr|A0A1Q9BVB1|A0A1Q9BVB1_SYMMI","CFR - TR",-0.840108020965456,21.2378021799662,-1.12992890253317,0.271716861081565,0.855869820316528,-4.69886961997801,"Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45896 PE=4 SV=1"
"tr|A0A1Q9BVR1|A0A1Q9BVR1_SYMMI","CFR - TR",-4.59415897824695,1.64077106365962,-1.1149133559944,0.277948731987663,0.855869820316528,-4.70938499349984,"Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45589 PE=4 SV=1"
"tr|A0A1Q9BVT7|A0A1Q9BVT7_SYMMI","CFR - TR",0.319180171551817,11.2715099577777,0.0495054164053746,0.961001703192656,0.999709894336142,-5.11279160511925,"Putative beta-glucosidase J (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=bglJ PE=4 SV=1"
"tr|A0A1Q9BVY2|A0A1Q9BVY2_SYMMI","CFR - TR",-0.940305780639054,18.2045933705759,-0.198074214584082,0.845429791423747,0.982516827608286,-5.10020634861247,"Fructose-bisphosphate aldolase OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45503 PE=3 SV=1"
"tr|A0A1Q9BW25|A0A1Q9BW25_SYMMI","CFR - TR",-8.69605570314323,13.1117884162815,-1.58866659131114,0.127632104382949,0.855869820316528,-4.32502054420327,"Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45411 PE=4 SV=1"
"tr|A0A1Q9BW36|A0A1Q9BW36_SYMMI","CFR - TR",-5.36844227183478,6.97230974988723,-0.912658112825499,0.372163725352665,0.858811756032039,-4.8391485479711,"Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45440 PE=4 SV=1"
"tr|A0A1Q9BW59|A0A1Q9BW59_SYMMI","CFR - TR",2.60681603680941,2.55006286526404,0.665163105634444,0.513453522232281,0.907455501464929,-4.96595650795316,"Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45463 PE=4 SV=1"
"tr|A0A1Q9BW84|A0A1Q9BW84_SYMMI","CFR - TR",-8.76423185244769,5.71093837560857,-1.66879451592512,0.110551451504867,0.855869820316528,-4.25033681085855,"26S proteasome non-ATPase regulatory subunit 6-like (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=RPN7 PE=4 SV=1"
"tr|A0A1Q9BWM0|A0A1Q9BWM0_SYMMI","CFR - TR",-0.345036011513191,22.6649086623718,-0.725925045964018,0.47619420437071,0.892621271375289,-4.93823375815453,"Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45164 PE=4 SV=1"
"tr|A0A1Q9BWT9|A0A1Q9BWT9_SYMMI","CFR - TR",-4.02545615638559,22.0190193294661,-1.80204957937593,0.097499015677822,0.855869820316528,-4.15462196859933,"ANK_REP_REGION domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45226 PE=4 SV=1"
"tr|A0A1Q9BWX0|A0A1Q9BWX0_SYMMI","CFR - TR",2.42194900216432,14.2049266361708,0.387936314270162,0.702112264776087,0.972046363749131,-5.06290659861931,"ATP-dependent DNA helicase RRM3 OS=Symbiodinium microadriaticum OX=2951 GN=RRM3 PE=4 SV=1"
"tr|A0A1Q9BX28|A0A1Q9BX28_SYMMI","CFR - TR",2.36443350396262,0.675552429703605,0.827754493174484,0.417461160248726,0.873484142613956,-4.88675389617742,"Retrovirus-related Pol polyprotein from transposon TNT 1-94 (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45047 PE=4 SV=1"
"tr|A0A1Q9BXU2|A0A1Q9BXU2_SYMMI","CFR - TR",4.13494437502463,5.73898342261615,0.661392255240666,0.515818580623751,0.908473469488491,-4.96760197952417,"Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44724 PE=4 SV=1"
"tr|A0A1Q9BY35|A0A1Q9BY35_SYMMI","CFR - TR",-4.42352932397081,16.623725321929,-1.2804457770387,0.214865568387184,0.855869820316528,-4.58709987531724,"Copia protein OS=Symbiodinium microadriaticum OX=2951 GN=GIP PE=4 SV=1"
"tr|A0A1Q9BY94|A0A1Q9BY94_SYMMI","CFR - TR",-5.54056091089188,18.3537270271813,-1.72885964006081,0.099056197256504,0.855869820316528,-4.1927548358343,"Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44517 PE=4 SV=1"
"tr|A0A1Q9BYJ2|A0A1Q9BYJ2_SYMMI","CFR - TR",-19.2041489587381,14.115013843997,-3.19374798317406,0.00451115913822584,0.855869820316528,-2.52520935558574,"Fucoxanthin-chlorophyll a-c binding protein B, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=FCPB PE=4 SV=1"
"tr|A0A1Q9BYL8|A0A1Q9BYL8_SYMMI","CFR - TR",3.95581892543534,19.8407420726565,1.07103700846606,0.303500039019795,0.855869820316528,-4.73735254441747,"Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44375 PE=4 SV=1"
"tr|A0A1Q9BYM4|A0A1Q9BYM4_SYMMI","CFR - TR",2.18443600537879,2.66070821957597,0.537422576652819,0.596834337798329,0.939050504089739,-5.01673708533237,"Sperm acrosomal protein FSA-ACR.1 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44376 PE=4 SV=1"
"tr|A0A1Q9BYV2|A0A1Q9BYV2_SYMMI","CFR - TR",-3.66098522490745,1.89314087776718,-0.945040019256948,0.355782209401714,0.855869820316528,-4.81989863860171,"Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44297 PE=4 SV=1"
"tr|A0A1Q9BYX6|A0A1Q9BYX6_SYMMI","CFR - TR",0.977794171347091,4.11034381431291,0.179587711608613,0.85926161387936,0.983587584662103,-5.1027101784369,"Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44349 PE=4 SV=1"
"tr|A0A1Q9BYZ0|A0A1Q9BYZ0_SYMMI","CFR - TR",-0.274194335930666,21.0368359297333,-0.116725781223853,0.908895819191846,0.987355041283093,-5.1088828088886,"Heat shock 90 kDa protein-like OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44246 PE=3 SV=1"
"tr|A0A1Q9BZ86|A0A1Q9BZ86_SYMMI","CFR - TR",0.229375711575194,21.4272815636988,0.355774895221708,0.725689634094753,0.976651463415204,-5.07093300367366,"Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44138 PE=4 SV=1"
"tr|A0A1Q9BZD4|A0A1Q9BZD4_SYMMI","CFR - TR",0.389212239834738,18.826352196531,0.234472441233617,0.816973372565811,0.982516827608286,-5.09503577804608,"Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44099 PE=4 SV=1"
"tr|A0A1Q9BZE2|A0A1Q9BZE2_SYMMI","CFR - TR",10.2574258129027,2.93069308940077,2.3925912766262,0.0265333958299372,0.855869820316528,-3.48324994083828,"CCT-eta (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=MAL3P3.6 PE=3 SV=1"
