ProteinID,GeneID,Query.Length,Description,SequenceID,Length,GeneSymbol,GeneSymbol2
FUN_000003-T1,FUN_000003,Length: 652,Guanylate-binding protein 7 [Acropora cervicornis],KAK2568392.1,637,GBP7,GBP7
FUN_000016-T1,FUN_000016,Length: 431,Actin-like protein 6A [Acropora cervicornis],KAK2568226.1,474,TRAPPC6A,TRAPPC6A
FUN_000019-T1,FUN_000019,Length: 917,Kinesin-like protein KIF27 [Acropora cervicornis],KAK2568225.1,1157,GPRASP1,GPRASP1
FUN_000022-T1,FUN_000022,Length:729,Splicing factor 3A subunit 1 [Acropora cervicornis],KAK2568504.1,735,SF3A1,SF3A1
FUN_000023-T1,FUN_000023,Length: 1876,PREDICTED: uncharacterized protein LOC107343909 isoform X1 [Acropora digitifera],XP_015764986.1,1878,ATP6V1A2,ATP6V1A2
FUN_000033-T1,FUN_000033,Length: 569,hypothetical protein P5673_007369 [Acropora cervicornis],KAK2568350.1,292,NA,NA
FUN_000034-T1,FUN_000034,Length: 1590,hypothetical protein,,NA,NA,NA
FUN_000035-T1,FUN_000035,Length:919,histamine N-methyltransferase-like [Acropora muricata],XP_067052637.1,289,METTL13,METTL13
FUN_000037-T1,FUN_000037,Length: 245,Persulfide dioxygenase ETHE1-like protein [Acropora cervicornis],KAK2568353.1,210,ETHE1,ETHE1
FUN_000041-T1,FUN_000041,Length: 496,putative diacylglycerol O-acyltransferase [Acropora cervicornis],KAK2568202.1,596,DGAT1,DGAT1
FUN_000042-T1,FUN_000042,Length: 491,putative diacylglycerol O-acyltransferase tgs1 [Acropora cervicornis],KAK2568194.1,474,DGAT1,DGAT1
FUN_000045-T1,FUN_000045,Length: 327,Inactive hydroxysteroid dehydrogenase-like protein 1 [Acropora cervicornis],KAK2568197.1,323,G6PDL,G6PDL
FUN_000046-T1,FUN_000046,Length: 560,sodium-dependent glucose transporter 1A-like isoform X1 [Acropora muricata],XP_067055168.1,564,ATP6V1A2,ATP6V1A2
FUN_000047-T1,FUN_000047,Length: 762,kinesin-II 95 kDa subunit-like [Acropora millepora],XP_044174790.1,762,OSTCP1,OSTCP1
FUN_000051-T1,FUN_000051,Length: 309,Inactive hydroxysteroid dehydrogenase-like protein 1 [Acropora cervicornis],KAK2568464.1,125,G6PDL,G6PDL
FUN_000069-T1,FUN_000069,Length: 880,EF-hand calcium-binding domain-containing protein 4A [Acropora cervicornis],KAK2568309.1,421,SCPPPQ1,SCPPPQ1
FUN_000073-T1,FUN_000073,Length: 176,40S ribosomal protein S11-like [Acropora millepora],XP_029194650.2,176,RPS19BP1,RPS19BP1
FUN_000080-T1,FUN_000080,Length: 303,Secreted frizzled-related protein 3 [Acropora cervicornis],KAK2568413.1,293,MFRP,MFRP
FUN_000082-T1,FUN_000082,Length: 557,"Mitochondrial potassium channel ATP-binding subunit, partial [Acropora cervicornis]",KAK2568414.1,590,KCNAB1,KCNAB1
FUN_000085-T1,FUN_000085,Length: 376,glutamic acid-rich protein-like isoform X1 [Acropora muricata],XP_067055462.1,467,MLPL1,MLPL1
FUN_000086-T1,FUN_000086,Length: 175,RNA-binding protein 3 [Acropora cervicornis],KAK2568250.1,175,KRTAP3-3,KRTAP3-3
FUN_000087-T1,FUN_000087,Length: 154,29 kDa ribonucleoprotein [Acropora cervicornis],KAK2568253.1,154,HNRNPA1P29,HNRNPA1P29
FUN_000088-T1,FUN_000088,Length: 361,RNA-binding motif protein [Acropora cervicornis],KAK2568252.1,360,RBM3,RBM3
FUN_000094-T1,FUN_000094,Length: 520,CUB domain-containing protein-like [Acropora muricata],XP_067052452.1,501,MLPL1,MLPL1
FUN_000097-T1,FUN_000097,Length: 314,CUB domain-containing protein [Acropora cervicornis],KAK2568230.1,611,VWC2L,VWC2L
FUN_000099-T1,FUN_000099,Length: 449,Threonine-rich protein [Acropora cervicornis],KAK2568228.1,319,GPRASP1,GPRASP1
FUN_000102-T1,FUN_000102,Length: 454,FAS-associated factor 2-like isoform X1 [Acropora muricata],XP_067053625.1,464,RFX1,RFX1
FUN_000103-T1,FUN_000103,Length: 252,transcriptional activator protein Pur-beta-like [Stylophora pistillata],XP_022799207.1,275,PRKRA,PRKRA
FUN_000107-T1,FUN_000107,Length: 538,actin [Acropora cervicornis],KAK2568173.1,2753,ABITRAM,ABITRAM
FUN_000111-T1,FUN_000111,Length: 1565,Synaptojanin-1 [Acropora cervicornis],KAK2568400.1,1290,SYNJ1,SYNJ1
FUN_000114-T1,FUN_000114,Length: 335,"Pre-mRNA-splicing factor RBM22, partial [Acropora cervicornis]",KAK2568399.1,742,LGI1,LGI1
