"Protein","Protein Description"
"XP_020600399.1","tetratricopeptide repeat protein 28-like [Orbicella faveolata]"
"XP_020600402.1","signal peptide, CUB and EGF-like domain-containing protein 1 [Orbicella faveolata]"
"XP_020600403.1","E3 ubiquitin-protein ligase HUWE1-like [Orbicella faveolata]"
"XP_020600405.1","glutamine--tRNA ligase-like [Orbicella faveolata]"
"XP_020600407.1","superoxide dismutase [Cu-Zn]-like [Orbicella faveolata]"
"XP_020600408.1","WASH complex subunit 4-like, partial [Orbicella faveolata]"
"XP_020600410.1","nuclear-interacting partner of ALK-like [Orbicella faveolata]"
"XP_020600411.1","granulins-like [Orbicella faveolata]"
"XP_020600413.1","uncharacterized protein LOC110039625 [Orbicella faveolata]"
"XP_020600427.1","trichohyalin-like isoform X1 [Orbicella faveolata]"
"XP_020600429.1","actin, cytoplasmic [Orbicella faveolata]"
"XP_020600442.1","low-density lipoprotein receptor-related protein 4-like isoform X1 [Orbicella faveolata]"
"XP_020600446.1","urocanate hydratase-like isoform X1 [Orbicella faveolata]"
"XP_020600448.1","uncharacterized protein LOC110039655 [Orbicella faveolata]"
"XP_020600449.1","FYVE, RhoGEF and PH domain-containing protein 4-like [Orbicella faveolata]"
"XP_020600450.1","protein kinase C delta type-like [Orbicella faveolata]"
"XP_020600451.1","LOW QUALITY PROTEIN: prolow-density lipoprotein receptor-related protein 1-like [Orbicella faveolata]"
"XP_020600456.1","trichohyalin-like isoform X1 [Orbicella faveolata]"
"XP_020600461.1","bcl-2-like protein 1 [Orbicella faveolata]"
"XP_020600466.1","DNA replication licensing factor mcm2-like isoform X1 [Orbicella faveolata]"
"XP_020600470.1","uncharacterized protein LOC110039675 [Orbicella faveolata]"
"XP_020600471.1","uncharacterized protein LOC110039676 [Orbicella faveolata]"
"XP_020600472.1","uncharacterized protein LOC110039677 isoform X1 [Orbicella faveolata]"
"XP_020600474.1","uncharacterized protein LOC110039679 [Orbicella faveolata]"
"XP_020600475.1","hydroxyacid-oxoacid transhydrogenase, mitochondrial-like isoform X1 [Orbicella faveolata]"
"XP_020600476.1","sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like [Orbicella faveolata]"
"XP_020600479.1","E3 ubiquitin-protein ligase RNF168-like [Orbicella faveolata]"
"XP_020600487.1","sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like [Orbicella faveolata]"
"XP_020600490.1","dnaJ homolog subfamily C member 2-like [Orbicella faveolata]"
"XP_020600491.1","lamina-associated polypeptide 2, isoforms beta/gamma-like [Orbicella faveolata]"
"XP_020600492.1","uncharacterized protein LOC110039694 [Orbicella faveolata]"
"XP_020600493.1","uncharacterized protein LOC110039695 [Orbicella faveolata]"
"XP_020600494.1","glutamine--tRNA ligase-like [Orbicella faveolata]"
"XP_020600501.1","superoxide dismutase [Cu-Zn]-like [Orbicella faveolata]"
"XP_020600506.1","uncharacterized protein LOC110039705 [Orbicella faveolata]"
"XP_020600508.1","leukotriene A-4 hydrolase-like isoform X1 [Orbicella faveolata]"
"XP_020600514.1","methylglutaconyl-CoA hydratase, mitochondrial-like [Orbicella faveolata]"
"XP_020600515.1","histidine N-acetyltransferase-like [Orbicella faveolata]"
"XP_020600518.1","sodium/glucose cotransporter 5-like [Orbicella faveolata]"
"XP_020600524.1","uncharacterized protein LOC110039721 isoform X1 [Orbicella faveolata]"
"XP_020600531.1","succinate-semialdehyde dehydrogenase, mitochondrial-like [Orbicella faveolata]"
"XP_020600532.1","uridine 5'-monophosphate synthase-like [Orbicella faveolata]"
"XP_020600533.1","protein DD3-3-like [Orbicella faveolata]"
"XP_020600534.1","splicing factor 45-like [Orbicella faveolata]"
"XP_020600537.1","polyglutamine-binding protein 1-like [Orbicella faveolata]"
"XP_020600542.1","ras-related protein rab7 [Orbicella faveolata]"
"XP_020600544.1","uncharacterized protein LOC110039737 [Orbicella faveolata]"
"XP_020600545.1","transmembrane protein 209-like [Orbicella faveolata]"
"XP_020600548.1","U3 small nucleolar ribonucleoprotein protein IMP4-like isoform X1 [Orbicella faveolata]"
"XP_020600556.1","uncharacterized protein LOC110039746 [Orbicella faveolata]"
"XP_020600557.1","uncharacterized protein LOC110039747 [Orbicella faveolata]"
"XP_020600561.1","granulins-like isoform X1 [Orbicella faveolata]"
"XP_020600564.1","uncharacterized protein LOC110039754 [Orbicella faveolata]"
"XP_020600567.1","methionine aminopeptidase 2-like [Orbicella faveolata]"
"XP_020600573.1","short-chain dehydrogenase/reductase family 9C member 7-like [Orbicella faveolata]"
"XP_020600585.1","guanine deaminase-like isoform X1 [Orbicella faveolata]"
"XP_020600590.1","MORN repeat-containing protein 3-like [Orbicella faveolata]"
"XP_020600596.1","hepatoma-derived growth factor-related protein 2-like [Orbicella faveolata]"
"XP_020600602.1","aspartate aminotransferase, cytoplasmic-like, partial [Orbicella faveolata]"
"XP_020600603.1","ras-related protein Rab-27A-like [Orbicella faveolata]"
"XP_020600609.1","uncharacterized protein LOC110039806 isoform X1 [Orbicella faveolata]"
"XP_020600612.1","phosphatidylinositol phosphatase PTPRQ-like [Orbicella faveolata]"
"XP_020600614.1","WAP four-disulfide core domain protein 3-like [Orbicella faveolata]"
"XP_020600616.1","retinol dehydrogenase 8-like [Orbicella faveolata]"
"XP_020600620.1","sortilin-related receptor-like [Orbicella faveolata]"
"XP_020600621.1","mitotic spindle assembly checkpoint protein MAD2A-like [Orbicella faveolata]"
"XP_020600622.1","neuronal acetylcholine receptor subunit alpha-10-like isoform X1 [Orbicella faveolata]"
"XP_020600633.1","hemicentin-1-like [Orbicella faveolata]"
"XP_020600643.1","uncharacterized protein LOC110039834 [Orbicella faveolata]"
"XP_020600644.1","hemicentin-1-like [Orbicella faveolata]"
"XP_020600645.1","mitogen-activated protein kinase kinase kinase kinase 5-like [Orbicella faveolata]"
